token_id,dst_rank,arrival_cycle,enqueue_cycle,dispatch_cycle,completion_cycle,queue_delay,total_latency,queue_depth_at_enqueue,aggregation_size,credit_stalled
0,1,0,0,16148,26920,16148,26920,1,4,false
1,1,0,0,16148,26920,16148,26920,2,4,false
2,1,0,0,16148,26920,16148,26920,3,4,false
3,1,0,0,16148,26920,16148,26920,4,4,false
4,2,0,0,26920,37692,26920,37692,1,4,false
5,2,0,0,26920,37692,26920,37692,2,4,false
6,2,0,0,26920,37692,26920,37692,3,4,false
7,2,0,0,26920,37692,26920,37692,4,4,false
8,2,0,0,51280,56676,51280,56676,5,4,false
9,2,0,0,51280,56676,51280,56676,6,4,false
10,2,0,0,51280,56676,51280,56676,7,4,false
11,2,0,0,51280,56676,51280,56676,8,4,false
12,2,0,0,67448,72844,67448,72844,9,4,false
13,2,0,0,67448,72844,67448,72844,10,4,false
14,2,0,0,67448,72844,67448,72844,11,4,false
15,2,0,0,67448,72844,67448,72844,12,4,false
16,2,0,0,100040,105436,100040,105436,13,4,false
17,2,0,0,100040,105436,100040,105436,14,4,false
18,2,0,0,100040,105436,100040,105436,15,4,false
19,2,0,0,100040,105436,100040,105436,16,4,false
20,2,0,0,138008,143404,138008,143404,17,4,false
21,2,0,0,138008,143404,138008,143404,18,4,false
22,2,0,0,138008,143404,138008,143404,19,4,false
23,2,0,0,138008,143404,138008,143404,20,4,false
24,2,0,0,170600,184188,170600,184188,21,4,false
25,2,0,0,170600,184188,170600,184188,22,4,false
26,2,0,0,170600,184188,170600,184188,23,4,false
27,2,0,0,170600,184188,170600,184188,24,4,false
28,1,0,0,37692,51280,37692,51280,5,4,false
29,1,0,0,37692,51280,37692,51280,6,4,false
30,1,0,0,37692,51280,37692,51280,7,4,false
31,1,0,0,37692,51280,37692,51280,8,4,false
32,1,0,0,56676,67448,56676,67448,9,4,false
33,1,0,0,56676,67448,56676,67448,10,4,false
34,1,0,0,56676,67448,56676,67448,11,4,false
35,1,0,0,56676,67448,56676,67448,12,4,false
36,1,0,0,89268,100040,89268,100040,13,4,false
37,1,0,0,89268,100040,89268,100040,14,4,false
38,1,0,0,89268,100040,89268,100040,15,4,false
39,1,0,0,89268,100040,89268,100040,16,4,false
40,1,0,0,124420,138008,124420,138008,17,4,false
41,1,0,0,124420,138008,124420,138008,18,4,false
42,1,0,0,124420,138008,124420,138008,19,4,false
43,1,0,0,124420,138008,124420,138008,20,4,false
44,2,0,0,208568,219340,208568,219340,25,4,false
45,2,0,0,208568,219340,208568,219340,26,4,false
46,2,0,0,208568,219340,208568,219340,27,4,false
47,2,0,0,208568,219340,208568,219340,28,4,false
48,2,0,0,237832,248604,237832,248604,29,4,false
49,2,0,0,237832,248604,237832,248604,30,4,false
50,2,0,0,237832,248604,237832,248604,31,4,false
