token_id,dst_rank,arrival_cycle,enqueue_cycle,dispatch_cycle,completion_cycle,queue_delay,total_latency,queue_depth_at_enqueue,aggregation_size,credit_stalled
0,1,0,0,16208,19044,16208,19044,1,1,false
1,1,0,0,19044,21880,19044,21880,2,1,false
2,1,0,0,21880,24460,21880,24460,3,1,false
3,1,0,0,24460,27040,24460,27040,4,1,false
4,2,0,0,418308,421144,418308,421144,1,1,false
5,2,0,0,421144,423980,421144,423980,2,1,false
6,2,0,0,423980,426560,423980,426560,3,1,false
7,2,0,0,426560,429140,426560,429140,4,1,false
8,2,0,0,429140,430696,429140,430696,5,1,false
9,2,0,0,430696,431996,430696,431996,6,1,false
10,2,0,0,431996,433296,431996,433296,7,1,false
11,2,0,0,433296,434596,433296,434596,8,1,false
12,2,0,0,434596,436152,434596,436152,9,1,false
13,2,0,0,436152,437452,436152,437452,10,1,false
14,2,0,0,437452,438752,437452,438752,11,1,false
15,2,0,0,438752,440052,438752,440052,12,1,false
16,2,0,0,440052,441608,440052,441608,13,1,false
17,2,0,0,441608,442908,441608,442908,14,1,false
18,2,0,0,442908,444208,442908,444208,15,1,false
19,2,0,0,444208,445508,444208,445508,16,1,false
20,2,0,0,445508,447064,445508,447064,17,1,false
21,2,0,0,447064,448364,447064,448364,18,1,false
22,2,0,0,448364,449664,448364,449664,19,1,false
23,2,0,0,449664,450964,449664,450964,20,1,false
24,2,0,0,450964,454568,450964,454568,21,1,false
25,2,0,0,454568,457916,454568,457916,22,1,false
26,2,0,0,457916,461264,457916,461264,23,1,false
27,2,0,0,461264,464612,461264,464612,24,1,false
28,1,0,0,27040,30644,27040,30644,5,1,false
29,1,0,0,30644,33992,30644,33992,6,1,false
30,1,0,0,33992,37340,33992,37340,7,1,false
31,1,0,0,37340,40688,37340,40688,8,1,false
32,1,0,0,40688,43524,40688,43524,9,1,false
33,1,0,0,43524,46360,43524,46360,10,1,false
34,1,0,0,46360,48940,46360,48940,11,1,false
35,1,0,0,48940,51520,48940,51520,12,1,false
36,1,0,0,51520,54356,51520,54356,13,1,false
37,1,0,0,54356,57192,54356,57192,14,1,false
38,1,0,0,57192,59772,57192,59772,15,1,false
39,1,0,0,59772,62352,59772,62352,16,1,false
40,1,0,0,62352,65956,62352,65956,17,1,false
41,1,0,0,65956,69304,65956,69304,18,1,false
42,1,0,0,69304,72652,69304,72652,19,1,false
43,1,0,0,72652,76000,72652,76000,20,1,false
44,2,0,0,464612,467448,464612,467448,25,1,false
45,2,0,0,467448,470284,467448,470284,26,1,false
46,2,0,0,470284,472864,470284,472864,27,1,false
47,2,0,0,472864,475444,472864,475444,28,1,false
48,2,0,0,475444,478280,475444,478280,29,1,false
49,2,0,0,478280,481116,478280,481116,30,1,false
50,2,0,0,481116,483696,481116,483696,31,1,false
51,2,0,0,483696,486276,483696,486276,32,1,false
52,1,0,0,76000,78836,76000,78836,21,1,false
53,1,0,0,78836,81672,78836,81672,22,1,false
54,1,0,0,81672,84252,81672,84252,23,1,false
55,1,0,0,84252,86832,84252,86832,24,1,false
56,1,0,0,86832,89668,86832,89668,25,1,false
57,1,0,0,89668,92504,89668,92504,26,1,false
58,1,0,0,92504,95084,92504,95084,27,1,false
59,1,0,0,95084,97664,95084,97664,28,1,false
60,1,0,0,97664,99220,97664,99220,29,1,false
61,1,0,0,99220,100520,99220,100520,30,1,false
62,1,0,0,100520,101820,100520,101820,31,1,false
63,1,0,0,101820,103120,101820,103120,32,1,false
64,1,0,0,103120,105956,103120,105956,33,1,false
65,1,0,0,105956,108792,105956,108792,34,1,false
66,1,0,0,108792,111628,108792,111628,35,1,false
67,1,0,0,111628,114208,111628,114208,36,1,false
68,0,0,0,0,4116,0,4116,1,1,false
69,0,0,0,4116,8232,4116,8232,2,1,false
70,0,0,0,8232,12348,8232,12348,3,1,false
71,0,0,0,12348,16208,12348,16208,4,1,false
72,1,0,0,114208,116276,114208,116276,37,1,false
73,1,0,0,116276,118344,116276,118344,38,1,false
74,1,0,0,118344,120412,118344,120412,39,1,false
75,1,0,0,120412,122224,120412,122224,40,1,false
76,1,0,0,122224,126340,122224,126340,41,1,false
77,1,0,0,126340,130456,126340,130456,42,1,false
78,1,0,0,130456,134572,130456,134572,43,1,false
79,1,0,0,134572,138432,134572,138432,44,1,false
80,1,0,0,138432,141268,138432,141268,45,1,false
81,1,0,0,141268,144104,141268,144104,46,1,false
82,1,0,0,144104,146684,144104,146684,47,1,false
83,1,0,0,146684,149264,146684,149264,48,1,false
84,2,0,0,486276,489112,486276,489112,33,1,false
85,2,0,0,489112,491948,489112,491948,34,1,false
86,2,0,0,491948,494528,491948,494528,35,1,false
87,2,0,0,494528,497108,494528,497108,36,1,false
88,1,0,0,149264,152100,149264,152100,49,1,false
89,1,0,0,152100,154936,152100,154936,50,1,false
90,1,0,0,154936,157516,154936,157516,51,1,false
91,1,0,0,157516,160096,157516,160096,52,1,false
92,2,0,0,497108,499944,497108,499944,37,1,false
93,2,0,0,499944,502780,499944,502780,38,1,false
94,2,0,0,502780,505360,502780,505360,39,1,false
95,2,0,0,505360,507940,505360,507940,40,1,false
96,2,0,0,507940,512056,507940,512056,41,1,false
97,2,0,0,512056,516172,512056,516172,42,1,false
98,2,0,0,516172,520032,516172,520032,43,1,false
99,2,0,0,520032,523892,520032,523892,44,1,false
100,1,0,0,160096,163700,160096,163700,53,1,false
101,1,0,0,163700,167048,163700,167048,54,1,false
102,1,0,0,167048,170396,167048,170396,55,1,false
103,1,0,0,170396,173744,170396,173744,56,1,false
104,1,0,0,173744,175812,173744,175812,57,1,false
105,1,0,0,175812,177880,175812,177880,58,1,false
106,1,0,0,177880,179948,177880,179948,59,1,false
107,1,0,0,179948,182016,179948,182016,60,1,false
108,2,0,0,523892,529544,523892,529544,45,1,false
109,2,0,0,529544,535196,529544,535196,46,1,false
110,2,0,0,535196,540592,535196,540592,47,1,false
111,2,0,0,540592,545988,540592,545988,48,1,false
112,1,0,0,182016,185620,182016,185620,61,1,false
113,1,0,0,185620,188968,185620,188968,62,1,false
114,1,0,0,188968,192316,188968,192316,63,1,false
115,1,0,0,192316,195664,192316,195664,64,1,false
116,2,0,0,545988,548824,545988,548824,49,1,false
117,2,0,0,548824,551660,548824,551660,50,1,false
118,2,0,0,551660,554240,551660,554240,51,1,false
119,2,0,0,554240,556820,554240,556820,52,1,false
120,2,0,0,556820,559656,556820,559656,53,1,false
121,2,0,0,559656,562492,559656,562492,54,1,false
122,2,0,0,562492,565072,562492,565072,55,1,false
123,2,0,0,565072,567652,565072,567652,56,1,false
124,1,0,0,195664,198500,195664,198500,65,1,false
125,1,0,0,198500,201336,198500,201336,66,1,false
126,1,0,0,201336,203916,201336,203916,67,1,false
