token_id,dst_rank,arrival_cycle,enqueue_cycle,dispatch_cycle,completion_cycle,queue_delay,total_latency,queue_depth_at_enqueue,aggregation_size,credit_stalled,counter_stalled
0,1,0,0,0,10772,0,10772,1,4,false,false
1,1,0,0,0,10772,0,10772,2,4,false,false
2,1,0,0,0,10772,0,10772,3,4,false,false
3,1,0,0,0,10772,0,10772,4,4,false,false
4,2,0,0,59492,70264,59492,70264,1,4,false,false
5,2,0,0,59492,70264,59492,70264,2,4,false,false
6,2,0,0,59492,70264,59492,70264,3,4,false,false
7,2,0,0,59492,70264,59492,70264,4,4,false,false
8,2,0,0,5253936,5259332,5253936,5259332,5,4,false,false
9,2,0,0,5253936,5259332,5253936,5259332,6,4,false,false
10,2,0,0,5253936,5259332,5253936,5259332,7,4,false,false
11,2,0,0,5253936,5259332,5253936,5259332,8,4,false,false
12,2,0,0,5285504,5290900,5285504,5290900,9,4,false,false
13,2,0,0,5285504,5290900,5285504,5290900,10,4,false,false
14,2,0,0,5285504,5290900,5285504,5290900,11,4,false,false
15,2,0,0,5285504,5290900,5285504,5290900,12,4,false,false
16,2,0,0,5318096,5323492,5318096,5323492,13,4,false,false
17,2,0,0,5318096,5323492,5318096,5323492,14,4,false,false
18,2,0,0,5318096,5323492,5318096,5323492,15,4,false,false
19,2,0,0,5318096,5323492,5318096,5323492,16,4,false,false
20,2,0,0,5347360,5352756,5347360,5352756,17,4,false,false
21,2,0,0,5347360,5352756,5347360,5352756,18,4,false,false
22,2,0,0,5347360,5352756,5347360,5352756,19,4,false,false
23,2,0,0,5347360,5352756,5347360,5352756,20,4,false,false
24,2,0,0,5374576,5388164,5374576,5388164,21,4,false,false
25,2,0,0,5374576,5388164,5374576,5388164,22,4,false,false
26,2,0,0,5374576,5388164,5374576,5388164,23,4,false,false
27,2,0,0,5374576,5388164,5374576,5388164,24,4,false,false
28,1,0,0,10772,24360,10772,24360,5,4,false,false
29,1,0,0,10772,24360,10772,24360,6,4,false,false
30,1,0,0,10772,24360,10772,24360,7,4,false,false
31,1,0,0,10772,24360,10772,24360,8,4,false,false
32,1,0,0,24360,35132,24360,35132,9,4,false,false
33,1,0,0,24360,35132,24360,35132,10,4,false,false
34,1,0,0,24360,35132,24360,35132,11,4,false,false
35,1,0,0,24360,35132,24360,35132,12,4,false,false
36,1,0,0,35132,45904,35132,45904,13,4,false,false
37,1,0,0,35132,45904,35132,45904,14,4,false,false
38,1,0,0,35132,45904,35132,45904,15,4,false,false
39,1,0,0,35132,45904,35132,45904,16,4,false,false
40,1,0,0,45904,59492,45904,59492,17,4,false,false
41,1,0,0,45904,59492,45904,59492,18,4,false,false
42,1,0,0,45904,59492,45904,59492,19,4,false,false
