token_id,dst_rank,arrival_cycle,enqueue_cycle,dispatch_cycle,completion_cycle,queue_delay,total_latency,queue_depth_at_enqueue,aggregation_size,credit_stalled,counter_stalled
0,1,0,0,4116,6952,4116,6952,1,1,false,false
1,1,0,0,13904,16740,13904,16740,2,1,false,false
2,1,0,0,23692,26272,23692,26272,3,1,false,false
3,1,0,0,32712,35292,32712,35292,4,1,false,false
4,2,0,0,6952,9788,6952,9788,1,1,false,false
5,2,0,0,16740,19576,16740,19576,2,1,false,false
6,2,0,0,26272,28852,26272,28852,3,1,false,false
7,2,0,0,35292,37872,35292,37872,4,1,false,false
8,2,0,0,41476,43032,41476,43032,5,1,false,false
9,2,0,0,46380,47680,46380,47680,6,1,false,false
10,2,0,0,51028,52328,51028,52328,7,1,false,false
11,2,0,0,55676,56976,55676,56976,8,1,false,false
12,2,0,0,59812,61368,59812,61368,9,1,false,false
13,2,0,0,68340,69640,68340,69640,10,1,false,false
14,2,0,0,76356,77656,76356,77656,11,1,false,false
15,2,0,0,84372,85672,84372,85672,12,1,false,false
16,2,0,0,92644,94200,92644,94200,13,1,false,false
17,2,0,0,101940,103240,101940,103240,14,1,false,false
18,2,0,0,110724,112024,110724,112024,15,1,false,false
19,2,0,0,119508,120808,119508,120808,16,1,false,false
20,2,0,0,128804,130360,128804,130360,17,1,false,false
21,2,0,0,137844,139144,137844,139144,18,1,false,false
22,2,0,0,146628,147928,146628,147928,19,1,false,false
23,2,0,0,155412,156712,155412,156712,20,1,false,false
24,2,0,0,163684,167288,163684,167288,21,1,false,false
25,2,0,0,173748,177096,173748,177096,22,1,false,false
26,2,0,0,183300,186648,183300,186648,23,1,false,false
27,2,0,0,192596,195944,192596,195944,24,1,false,false
28,1,0,0,37872,41476,37872,41476,5,1,false,false
29,1,0,0,43032,46380,43032,46380,6,1,false,false
30,1,0,0,47680,51028,47680,51028,7,1,false,false
31,1,0,0,52328,55676,52328,55676,8,1,false,false
32,1,0,0,56976,59812,56976,59812,9,1,false,false
33,1,0,0,65504,68340,65504,68340,10,1,false,false
34,1,0,0,73776,76356,73776,76356,11,1,false,false
35,1,0,0,81792,84372,81792,84372,12,1,false,false
36,1,0,0,89808,92644,89808,92644,13,1,false,false
37,1,0,0,99104,101940,99104,101940,14,1,false,false
38,1,0,0,108144,110724,108144,110724,15,1,false,false
39,1,0,0,116928,119508,116928,119508,16,1,false,false
40,1,0,0,125200,128804,125200,128804,17,1,false,false
41,1,0,0,134496,137844,134496,137844,18,1,false,false
42,1,0,0,143280,146628,143280,146628,19,1,false,false
43,1,0,0,152064,155412,152064,155412,20,1,false,false
44,2,0,0,201892,204728,201892,204728,25,1,false,false
45,2,0,0,211188,214024,211188,214024,26,1,false,false
46,2,0,0,219972,222552,219972,222552,27,1,false,false
47,2,0,0,228244,230824,228244,230824,28,1,false,false
48,2,0,0,235492,238328,235492,238328,29,1,false,false
49,2,0,0,242484,245320,242484,245320,30,1,false,false
50,2,0,0,249476,252056,249476,252056,31,1,false,false
51,2,0,0,256212,258792,256212,258792,32,1,false,false
52,1,0,0,160848,163684,160848,163684,21,1,false,false
53,1,0,0,170912,173748,170912,173748,22,1,false,false
54,1,0,0,180720,183300,180720,183300,23,1,false,false
55,1,0,0,190016,192596,190016,192596,24,1,false,false
56,1,0,0,199056,201892,199056,201892,25,1,false,false
57,1,0,0,208352,211188,208352,211188,26,1,false,false
58,1,0,0,217392,219972,217392,219972,27,1,false,false
59,1,0,0,225664,228244,225664,228244,28,1,false,false
60,1,0,0,233936,235492,233936,235492,29,1,false,false
61,1,0,0,241184,242484,241184,242484,30,1,false,false
62,1,0,0,248176,249476,248176,249476,31,1,false,false
63,1,0,0,254912,256212,254912,256212,32,1,false,false
64,1,0,0,261392,264228,261392,264228,33,1,false,false
65,1,0,0,270688,273524,270688,273524,34,1,false,false
66,1,0,0,279728,282564,279728,282564,35,1,false,false
67,1,0,0,288512,291092,288512,291092,36,1,false,false
68,0,0,0,0,4116,0,4116,1,1,false,false
69,0,0,0,9788,13904,9788,13904,2,1,false,false
70,0,0,0,19576,23692,19576,23692,3,1,false,false
71,0,0,0,28852,32712,28852,32712,4,1,false,false
72,1,0,0,297040,299108,297040,299108,37,1,false,false
73,1,0,0,304800,306868,304800,306868,38,1,false,false
74,1,0,0,312560,314628,312560,314628,39,1,false,false
75,1,0,0,320064,321876,320064,321876,40,1,false,false
76,1,0,0,327056,331172,327056,331172,41,1,false,false
77,1,0,0,338912,343028,338912,343028,42,1,false,false
78,1,0,0,350512,354628,350512,354628,43,1,false,false
79,1,0,0,361856,365716,361856,365716,44,1,false,false
80,1,0,0,372944,375780,372944,375780,45,1,false,false
81,1,0,0,384288,387124,384288,387124,46,1,false,false
82,1,0,0,395632,398212,395632,398212,47,1,false,false
83,1,0,0,406464,409044,406464,409044,48,1,false,false
84,2,0,0,264228,267064,264228,267064,33,1,false,false
85,2,0,0,273524,276360,273524,276360,34,1,false,false
86,2,0,0,282564,285144,282564,285144,35,1,false,false
87,2,0,0,291092,293672,291092,293672,36,1,false,false
88,1,0,0,417040,419876,417040,419876,49,1,false,false
89,1,0,0,425568,428404,425568,428404,50,1,false,false
90,1,0,0,434096,436676,434096,436676,51,1,false,false
91,1,0,0,442112,444692,442112,444692,52,1,false,false
92,2,0,0,299108,301944,299108,301944,37,1,false,false
93,2,0,0,306868,309704,306868,309704,38,1,false,false
94,2,0,0,314628,317208,314628,317208,39,1,false,false
95,2,0,0,321876,324456,321876,324456,40,1,false,false
96,2,0,0,331172,335288,331172,335288,41,1,false,false
97,2,0,0,343028,347144,343028,347144,42,1,false,false
98,2,0,0,354628,358488,354628,358488,43,1,false,false
99,2,0,0,365716,369576,365716,369576,44,1,false,false
100,1,0,0,449872,453476,449872,453476,53,1,false,false
101,1,0,0,460448,463796,460448,463796,54,1,false,false
102,1,0,0,470768,474116,470768,474116,55,1,false,false
103,1,0,0,480832,484180,480832,484180,56,1,false,false
104,1,0,0,490896,492964,490896,492964,57,1,false,false
