token_id,dst_rank,arrival_cycle,enqueue_cycle,dispatch_cycle,completion_cycle,queue_delay,total_latency,queue_depth_at_enqueue,aggregation_size,credit_stalled,counter_stalled
0,1,0,0,16148,26920,16148,26920,1,4,false,false
1,1,0,0,16148,26920,16148,26920,2,4,false,false
2,1,0,0,16148,26920,16148,26920,3,4,false,false
3,1,0,0,16148,26920,16148,26920,4,4,false,false
4,2,0,0,417744,428516,417744,428516,1,4,false,false
5,2,0,0,417744,428516,417744,428516,2,4,false,false
6,2,0,0,417744,428516,417744,428516,3,4,false,false
7,2,0,0,417744,428516,417744,428516,4,4,false,false
8,2,0,0,428516,433912,428516,433912,5,4,false,false
9,2,0,0,428516,433912,428516,433912,6,4,false,false
10,2,0,0,428516,433912,428516,433912,7,4,false,false
11,2,0,0,428516,433912,428516,433912,8,4,false,false
12,2,0,0,433912,439308,433912,439308,9,4,false,true
13,2,0,0,433912,439308,433912,439308,10,4,false,true
14,2,0,0,433912,439308,433912,439308,11,4,false,true
15,2,0,0,433912,439308,433912,439308,12,4,false,true
16,2,0,0,439308,444704,439308,444704,13,4,false,true
17,2,0,0,439308,444704,439308,444704,14,4,false,true
18,2,0,0,439308,444704,439308,444704,15,4,false,true
19,2,0,0,439308,444704,439308,444704,16,4,false,true
20,2,0,0,444704,450100,444704,450100,17,4,false,true
21,2,0,0,444704,450100,444704,450100,18,4,false,true
22,2,0,0,444704,450100,444704,450100,19,4,false,true
23,2,0,0,444704,450100,444704,450100,20,4,false,true
24,2,0,0,450100,463688,450100,463688,21,4,false,true
25,2,0,0,450100,463688,450100,463688,22,4,false,true
26,2,0,0,450100,463688,450100,463688,23,4,false,true
27,2,0,0,450100,463688,450100,463688,24,4,false,true
28,1,0,0,26920,40508,26920,40508,5,4,false,false
29,1,0,0,26920,40508,26920,40508,6,4,false,false
30,1,0,0,26920,40508,26920,40508,7,4,false,false
31,1,0,0,26920,40508,26920,40508,8,4,false,false
32,1,0,0,40508,51280,40508,51280,9,4,false,true
33,1,0,0,40508,51280,40508,51280,10,4,false,true
34,1,0,0,40508,51280,40508,51280,11,4,false,true
35,1,0,0,40508,51280,40508,51280,12,4,false,true
36,1,0,0,51280,62052,51280,62052,13,4,false,true
37,1,0,0,51280,62052,51280,62052,14,4,false,true
38,1,0,0,51280,62052,51280,62052,15,4,false,true
39,1,0,0,51280,62052,51280,62052,16,4,false,true
40,1,0,0,62052,75640,62052,75640,17,4,false,true
41,1,0,0,62052,75640,62052,75640,18,4,false,true
42,1,0,0,62052,75640,62052,75640,19,4,false,true
43,1,0,0,62052,75640,62052,75640,20,4,false,true
44,2,0,0,463688,474460,463688,474460,25,4,false,true
45,2,0,0,463688,474460,463688,474460,26,4,false,true
46,2,0,0,463688,474460,463688,474460,27,4,false,true
47,2,0,0,463688,474460,463688,474460,28,4,false,true
48,2,0,0,474460,485232,474460,485232,29,4,false,true
49,2,0,0,474460,485232,474460,485232,30,4,false,true
50,2,0,0,474460,485232,474460,485232,31,4,false,true
51,2,0,0,474460,485232,474460,485232,32,4,false,true
52,1,0,0,75640,86412,75640,86412,21,4,false,true
53,1,0,0,75640,86412,75640,86412,22,4,false,true
54,1,0,0,75640,86412,75640,86412,23,4,false,true
55,1,0,0,75640,86412,75640,86412,24,4,false,true
56,1,0,0,86412,97184,86412,97184,25,4,false,true
57,1,0,0,86412,97184,86412,97184,26,4,false,true
58,1,0,0,86412,97184,86412,97184,27,4,false,true
59,1,0,0,86412,97184,86412,97184,28,4,false,true
60,1,0,0,97184,102580,97184,102580,29,4,false,true
61,1,0,0,97184,102580,97184,102580,30,4,false,true
62,1,0,0,97184,102580,97184,102580,31,4,false,true
63,1,0,0,97184,102580,97184,102580,32,4,false,true
64,1,0,0,102580,113608,102580,113608,33,4,false,true
65,1,0,0,102580,113608,102580,113608,34,4,false,true
66,1,0,0,102580,113608,102580,113608,35,4,false,true
67,1,0,0,102580,113608,102580,113608,36,4,false,true
68,0,0,0,0,16148,0,16148,1,4,false,false
69,0,0,0,0,16148,0,16148,2,4,false,false
70,0,0,0,0,16148,0,16148,3,4,false,false
71,0,0,0,0,16148,0,16148,4,4,false,false
72,1,0,0,113608,121564,113608,121564,37,4,false,true
73,1,0,0,113608,121564,113608,121564,38,4,false,true
74,1,0,0,113608,121564,113608,121564,39,4,false,true
75,1,0,0,113608,121564,113608,121564,40,4,false,true
76,1,0,0,121564,137712,121564,137712,41,4,false,true
77,1,0,0,121564,137712,121564,137712,42,4,false,true
78,1,0,0,121564,137712,121564,137712,43,4,false,true
79,1,0,0,121564,137712,121564,137712,44,4,false,true
80,1,0,0,137712,148484,137712,148484,45,4,false,true
81,1,0,0,137712,148484,137712,148484,46,4,false,true
82,1,0,0,137712,148484,137712,148484,47,4,false,true
83,1,0,0,137712,148484,137712,148484,48,4,false,true
84,2,0,0,485232,496004,485232,496004,33,4,false,true
85,2,0,0,485232,496004,485232,496004,34,4,false,true
86,2,0,0,485232,496004,485232,496004,35,4,false,true
87,2,0,0,485232,496004,485232,496004,36,4,false,true
88,1,0,0,148484,159256,148484,159256,49,4,false,true
89,1,0,0,148484,159256,148484,159256,50,4,false,true
90,1,0,0,148484,159256,148484,159256,51,4,false,true
91,1,0,0,148484,159256,148484,159256,52,4,false,true
92,2,0,0,496004,506776,496004,506776,37,4,false,true
93,2,0,0,496004,506776,496004,506776,38,4,false,true
94,2,0,0,496004,506776,496004,506776,39,4,false,true
95,2,0,0,496004,506776,496004,506776,40,4,false,true
96,2,0,0,506776,522668,506776,522668,41,4,false,true
97,2,0,0,506776,522668,506776,522668,42,4,false,true
98,2,0,0,506776,522668,506776,522668,43,4,false,true
99,2,0,0,506776,522668,506776,522668,44,4,false,true
100,1,0,0,159256,172844,159256,172844,53,4,false,true
101,1,0,0,159256,172844,159256,172844,54,4,false,true
102,1,0,0,159256,172844,159256,172844,55,4,false,true
103,1,0,0,159256,172844,159256,172844,56,4,false,true
104,1,0,0,172844,181056,172844,181056,57,4,false,true
105,1,0,0,172844,181056,172844,181056,58,4,false,true
106,1,0,0,172844,181056,172844,181056,59,4,false,true
107,1,0,0,172844,181056,172844,181056,60,4,false,true
108,2,0,0,522668,544704,522668,544704,45,4,false,true
109,2,0,0,522668,544704,522668,544704,46,4,false,true
110,2,0,0,522668,544704,522668,544704,47,4,false,true
111,2,0,0,522668,544704,522668,544704,48,4,false,true
112,1,0,0,181056,194644,181056,194644,61,4,false,true
113,1,0,0,181056,194644,181056,194644,62,4,false,true
114,1,0,0,181056,194644,181056,194644,63,4,false,true
115,1,0,0,181056,194644,181056,194644,64,4,false,true
116,2,0,0,544704,555476,544704,555476,49,4,false,true
117,2,0,0,544704,555476,544704,555476,50,4,false,true
118,2,0,0,544704,555476,544704,555476,51,4,false,true
119,2,0,0,544704,555476,544704,555476,52,4,false,true
120,2,0,0,555476,566248,555476,566248,53,4,false,true
121,2,0,0,555476,566248,555476,566248,54,4,false,true
122,2,0,0,555476,566248,555476,566248,55,4,false,true
123,2,0,0,555476,566248,555476,566248,56,4,false,true
124,1,0,0,194644,205416,194644,205416,65,4,false,true
125,1,0,0,194644,205416,194644,205416,66,4,false,true
126,1,0,0,194644,205416,194644,205416,67,4,false,true
127,1,0,0,194644,205416,194644,205416,68,4,false,true
128,2,0,0,566248,577020,566248,577020,57,4,false,true
129,2,0,0,566248,577020,566248,577020,58,4,false,true
130,2,0,0,566248,577020,566248,577020,59,4,false,true
131,2,0,0,566248,577020,566248,577020,60,4,false,true
132,1,0,0,205416,216188,205416,216188,69,4,false,true
133,1,0,0,205416,216188,205416,216188,70,4,false,true
134,1,0,0,205416,216188,205416,216188,71,4,false,true
135,1,0,0,205416,216188,205416,216188,72,4,false,true
136,1,0,0,216188,229520,216188,229520,73,4,false,true
137,1,0,0,216188,229520,216188,229520,74,4,false,true
138,1,0,0,216188,229520,216188,229520,75,4,false,true
139,1,0,0,216188,229520,216188,229520,76,4,false,true
140,2,0,0,577020,587792,577020,587792,61,4,false,true
141,2,0,0,577020,587792,577020,587792,62,4,false,true
142,2,0,0,577020,587792,577020,587792,63,4,false,true
143,2,0,0,577020,587792,577020,587792,64,4,false,true
144,1,0,0,229520,243108,229520,243108,77,4,false,true
145,1,0,0,229520,243108,229520,243108,78,4,false,true
146,1,0,0,229520,243108,229520,243108,79,4,false,true
147,1,0,0,229520,243108,229520,243108,80,4,false,true
148,1,0,0,243108,256696,243108,256696,81,4,false,true
149,1,0,0,243108,256696,243108,256696,82,4,false,true
150,1,0,0,243108,256696,243108,256696,83,4,false,true
151,1,0,0,243108,256696,243108,256696,84,4,false,true
152,1,0,0,256696,270284,256696,270284,85,4,false,true
153,1,0,0,256696,270284,256696,270284,86,4,false,true
154,1,0,0,256696,270284,256696,270284,87,4,false,true
155,1,0,0,256696,270284,256696,270284,88,4,false,true
156,1,0,0,270284,281056,270284,281056,89,4,false,true
157,1,0,0,270284,281056,270284,281056,90,4,false,true
158,1,0,0,270284,281056,270284,281056,91,4,false,true
159,1,0,0,270284,281056,270284,281056,92,4,false,true
160,2,0,0,587792,598564,587792,598564,65,4,false,true
161,2,0,0,587792,598564,587792,598564,66,4,false,true
162,2,0,0,587792,598564,587792,598564,67,4,false,true
163,2,0,0,587792,598564,587792,598564,68,4,false,true
164,1,0,0,281056,291828,281056,291828,93,4,false,true
165,1,0,0,281056,291828,281056,291828,94,4,false,true
166,1,0,0,281056,291828,281056,291828,95,4,false,true
167,1,0,0,281056,291828,281056,291828,96,4,false,true
168,2,0,0,598564,609336,598564,609336,69,4,false,true
169,2,0,0,598564,609336,598564,609336,70,4,false,true
170,2,0,0,598564,609336,598564,609336,71,4,false,true
171,2,0,0,598564,609336,598564,609336,72,4,false,true
172,2,0,0,609336,622924,609336,622924,73,4,false,true
173,2,0,0,609336,622924,609336,622924,74,4,false,true
174,2,0,0,609336,622924,609336,622924,75,4,false,true
175,2,0,0,609336,622924,609336,622924,76,4,false,true
176,1,0,0,291828,307976,291828,307976,97,4,false,true
177,1,0,0,291828,307976,291828,307976,98,4,false,true
178,1,0,0,291828,307976,291828,307976,99,4,false,true
179,1,0,0,291828,307976,291828,307976,100,4,false,true
180,1,0,0,307976,321308,307976,321308,101,4,false,true
181,1,0,0,307976,321308,307976,321308,102,4,false,true
182,1,0,0,307976,321308,307976,321308,103,4,false,true
183,1,0,0,307976,321308,307976,321308,104,4,false,true
184,1,0,0,321308,334640,321308,334640,105,4,false,true
185,1,0,0,321308,334640,321308,334640,106,4,false,true
186,1,0,0,321308,334640,321308,334640,107,4,false,true
187,1,0,0,321308,334640,321308,334640,108,4,false,true
188,2,0,0,622924,628832,622924,628832,77,3,false,true
189,2,0,0,622924,628832,622924,628832,78,3,false,true
190,2,0,0,622924,628832,622924,628832,79,3,false,true
191,2,0,0,628832,642676,628832,642676,80,4,false,true
192,2,0,0,628832,642676,628832,642676,81,4,false,true
193,2,0,0,628832,642676,628832,642676,82,4,false,true
194,2,0,0,628832,642676,628832,642676,83,4,false,true
195,2,0,0,642676,657032,642676,657032,84,4,false,true
196,2,0,0,642676,657032,642676,657032,85,4,false,true
197,2,0,0,642676,657032,642676,657032,86,4,false,true
198,2,0,0,642676,657032,642676,657032,87,4,false,true
199,2,0,0,657032,667804,657032,667804,88,4,false,true
200,2,0,0,657032,667804,657032,667804,89,4,false,true
201,1,0,0,334640,348228,334640,348228,109,4,false,true
202,1,0,0,334640,348228,334640,348228,110,4,false,true
203,1,0,0,334640,348228,334640,348228,111,4,false,true
204,1,0,0,334640,348228,334640,348228,112,4,false,true
205,1,0,0,348228,358744,348228,358744,113,4,false,true
206,2,0,0,657032,667804,657032,667804,90,4,false,true
207,2,0,0,657032,667804,657032,667804,91,4,false,true
208,2,0,0,667804,679856,667804,679856,92,4,false,true
209,2,0,0,667804,679856,667804,679856,93,4,false,true
210,1,0,0,348228,358744,348228,358744,114,4,false,true
211,1,0,0,348228,358744,348228,358744,115,4,false,true
212,1,0,0,348228,358744,348228,358744,116,4,false,true
213,1,0,0,358744,369004,358744,369004,117,3,false,true
214,2,0,0,667804,679856,667804,679856,94,4,false,true
215,2,0,0,667804,679856,667804,679856,95,4,false,true
216,2,0,0,679856,694724,679856,694724,96,4,false,true
217,2,0,0,679856,694724,679856,694724,97,4,false,true
218,1,0,0,358744,369004,358744,369004,118,3,false,true
219,1,0,0,358744,369004,358744,369004,119,3,false,true
220,1,0,0,369004,379776,369004,379776,120,4,false,true
221,1,0,0,369004,379776,369004,379776,121,4,false,true
222,2,0,0,679856,694724,679856,694724,98,4,false,true
223,2,0,0,679856,694724,679856,694724,99,4,false,true
224,2,0,0,694724,708312,694724,708312,100,4,false,true
225,2,0,0,694724,708312,694724,708312,101,4,false,true
226,1,0,0,369004,379776,369004,379776,122,4,false,true
227,1,0,0,369004,379776,369004,379776,123,4,false,true
228,1,0,0,379776,389524,379776,389524,124,4,false,true
229,1,0,0,379776,389524,379776,389524,125,4,false,true
230,2,0,0,694724,708312,694724,708312,102,4,false,true
231,2,0,0,694724,708312,694724,708312,103,4,false,true
232,2,0,0,708312,719084,708312,719084,104,4,false,true
233,2,0,0,708312,719084,708312,719084,105,4,false,true
234,1,0,0,379776,389524,379776,389524,126,4,false,true
235,1,0,0,379776,389524,379776,389524,127,4,false,true
236,1,0,0,389524,400296,389524,400296,128,4,false,true
237,1,0,0,389524,400296,389524,400296,129,4,false,true
238,2,0,0,708312,719084,708312,719084,106,4,false,true
