arrival_cycle,token_id,batch_id,layer_id,src_rank,dst_rank,expert_id,payload_bytes
0,0,0,0,0,1,3,90112
0,1,0,0,1,1,2,90112
0,2,0,0,2,1,3,81920
0,3,0,0,3,1,2,81920
0,4,0,20,0,2,5,90112
0,5,0,20,1,2,4,90112
0,6,0,20,2,2,5,81920
0,7,0,20,3,2,4,81920
0,8,0,20,0,2,5,49152
0,9,0,20,1,2,4,40960
0,10,0,20,2,2,5,40960
0,11,0,20,3,2,4,40960
0,12,0,21,0,2,4,49152
0,13,0,21,1,2,5,40960
0,14,0,21,2,2,4,40960
0,15,0,21,3,2,5,40960
0,16,0,22,0,2,5,49152
0,17,0,22,1,2,4,40960
0,18,0,22,2,2,5,40960
0,19,0,22,3,2,4,40960
0,20,0,23,0,2,4,49152
0,21,0,23,1,2,5,40960
0,22,0,23,2,2,4,40960
0,23,0,23,3,2,5,40960
0,24,0,31,0,2,4,114688
0,25,0,31,1,2,5,106496
0,26,0,31,2,2,4,106496
0,27,0,31,3,2,5,106496
0,28,0,11,0,1,3,114688
0,29,0,11,1,1,2,106496
0,30,0,11,2,1,3,106496
0,31,0,11,3,1,2,106496
0,32,0,15,0,1,3,90112
0,33,0,15,1,1,2,90112
0,34,0,15,2,1,3,81920
0,35,0,15,3,1,2,81920
0,36,0,25,0,1,3,90112
0,37,0,25,1,1,2,90112
0,38,0,25,2,1,3,81920
0,39,0,25,3,1,2,81920
0,40,0,11,0,1,2,114688
0,41,0,11,1,1,3,106496
0,42,0,11,2,1,2,106496
0,43,0,11,3,1,3,106496
0,44,0,22,0,2,5,90112
0,45,0,22,1,2,4,90112
0,46,0,22,2,2,5,81920
0,47,0,22,3,2,4,81920
0,48,0,24,0,2,5,90112
0,49,0,24,1,2,4,90112
0,50,0,24,2,2,5,81920
0,51,0,24,3,2,4,81920
0,52,0,25,0,1,2,90112
0,53,0,25,1,1,3,90112
0,54,0,25,2,1,2,81920
0,55,0,25,3,1,3,81920
0,56,0,29,0,1,2,90112
0,57,0,29,1,1,3,90112
0,58,0,29,2,1,2,81920
0,59,0,29,3,1,3,81920
0,60,0,3,0,1,2,49152
0,61,0,3,1,1,3,40960
0,62,0,3,2,1,2,40960
0,63,0,3,3,1,3,40960
0,64,0,6,0,1,3,90112
0,65,0,6,1,1,2,90112
0,66,0,6,2,1,3,90112
0,67,0,6,3,1,2,81920
0,68,0,7,0,0,0,131072
0,69,0,7,1,0,1,131072
0,70,0,7,2,0,0,131072
0,71,0,7,3,0,1,122880
0,72,0,7,0,1,2,65536
0,73,0,7,1,1,3,65536
0,74,0,7,2,1,2,65536
0,75,0,7,3,1,3,57344
0,76,0,9,0,1,2,131072
0,77,0,9,1,1,3,131072
0,78,0,9,2,1,2,131072
0,79,0,9,3,1,3,122880
0,80,0,11,0,1,3,90112
0,81,0,11,1,1,2,90112
0,82,0,11,2,1,3,81920
0,83,0,11,3,1,2,81920
0,84,0,24,0,2,4,90112
0,85,0,24,1,2,5,90112
0,86,0,24,2,2,4,81920
0,87,0,24,3,2,5,81920
0,88,0,25,0,1,3,90112
0,89,0,25,1,1,2,90112
0,90,0,25,2,1,3,81920
0,91,0,25,3,1,2,81920
0,92,0,26,0,2,4,90112
0,93,0,26,1,2,5,90112
0,94,0,26,2,2,4,81920
0,95,0,26,3,2,5,81920
0,96,0,30,0,2,4,131072
0,97,0,30,1,2,5,131072
0,98,0,30,2,2,4,122880
0,99,0,30,3,2,5,122880
0,100,0,31,0,1,3,114688
0,101,0,31,1,1,2,106496
0,102,0,31,2,1,3,106496
0,103,0,31,3,1,2,106496
0,104,0,11,0,1,2,65536
0,105,0,11,1,1,3,65536
0,106,0,11,2,1,2,65536
0,107,0,11,3,1,3,65536
0,108,0,14,0,2,5,180224
0,109,0,14,1,2,4,180224
0,110,0,14,2,2,5,172032
0,111,0,14,3,2,4,172032
0,112,0,15,0,1,2,114688
0,113,0,15,1,1,3,106496
0,114,0,15,2,1,2,106496
0,115,0,15,3,1,3,106496
0,116,0,23,0,2,4,90112
0,117,0,23,1,2,5,90112
0,118,0,23,2,2,4,81920
0,119,0,23,3,2,5,81920
0,120,0,25,0,2,4,90112
0,121,0,25,1,2,5,90112
0,122,0,25,2,2,4,81920
0,123,0,25,3,2,5,81920
0,124,0,11,0,1,3,90112
