token_id,dst_rank,arrival_cycle,enqueue_cycle,dispatch_cycle,completion_cycle,queue_delay,total_latency,queue_depth_at_enqueue,aggregation_size,credit_stalled,counter_stalled
0,1,0,1165477,10382576,10385412,10382576,10385412,1089,1,false,false
1,1,0,1165477,10389548,10392384,10389548,10392384,1090,1,false,false
2,1,0,1165477,10396520,10399100,10396520,10399100,1091,1,false,false
3,1,0,1165477,10404004,10406584,10404004,10406584,1092,1,false,false
4,2,0,139969,3149176,3152012,3149176,3152012,309,1,false,false
5,2,0,139969,3157704,3160540,3157704,3160540,310,1,false,false
6,2,0,139969,3165976,3168556,3165976,3168556,311,1,false,false
7,2,0,139969,3175272,3177852,3175272,3177852,312,1,false,false
8,2,0,139969,3184568,3186124,3184568,3186124,313,1,false,false
9,2,0,139969,3193096,3194396,3193096,3194396,314,1,false,false
10,2,0,139969,3201368,3202668,3201368,3202668,315,1,false,false
11,2,0,139969,3208104,3209404,3208104,3209404,316,1,false,false
12,2,0,143616,6437144,6438700,6437144,6438700,647,1,false,false
13,2,0,143616,6443368,6444668,6443368,6444668,648,1,false,false
14,2,0,143616,6450872,6452172,6450872,6452172,649,1,false,false
15,2,0,143616,6458376,6459676,6458376,6459676,650,1,false,false
16,2,0,150274,6985592,6987148,6985592,6987148,708,1,false,false
17,2,0,150274,6993864,6995164,6993864,6995164,709,1,false,false
18,2,0,150274,7001880,7003180,7001880,7003180,710,1,false,false
19,2,0,150274,7010152,7011452,7010152,7011452,711,1,false,false
20,2,0,139904,2798824,2800380,2798824,2800380,272,1,false,false
21,2,0,139904,2808120,2809420,2808120,2809420,273,1,false,false
22,2,0,139904,2816904,2818204,2816904,2818204,274,1,false,false
23,2,0,139904,2825688,2826988,2825688,2826988,275,1,false,false
24,2,0,142016,5080008,5083612,5080008,5083612,502,1,false,false
25,2,0,142016,5092632,5095980,5092632,5095980,503,1,false,false
26,2,0,142016,5101928,5105276,5101928,5105276,504,1,false,false
27,2,0,142016,5111480,5114828,5111480,5114828,505,1,false,false
28,1,0,136992,1934676,1938280,1934676,1938280,184,1,false,false
29,1,0,136992,1946020,1949368,1946020,1949368,185,1,false,false
30,1,0,136992,1957108,1960456,1957108,1960456,186,1,false,false
31,1,0,136992,1966916,1970264,1966916,1970264,187,1,false,false
32,1,0,148128,8867772,8870608,8867772,8870608,965,1,false,false
33,1,0,148128,8874232,8877068,8874232,8877068,966,1,false,false
34,1,0,148128,8880436,8883016,8880436,8883016,967,1,false,false
35,1,0,148128,8886384,8888964,8886384,8888964,968,1,false,false
36,1,0,135104,135892,138728,135892,138728,1,1,false,false
37,1,0,135104,144420,147256,144420,147256,2,1,false,false
38,1,0,135104,152948,155528,152948,155528,3,1,false,false
39,1,0,135104,160708,163288,160708,163288,4,1,false,false
40,1,0,136992,1976980,1980584,1976980,1980584,188,1,false,false
41,1,0,136992,1987556,1990904,1987556,1990904,189,1,false,false
42,1,0,136992,1997876,2001224,1997876,2001224,190,1,false,false
43,1,0,136992,2008708,2012056,2008708,2012056,191,1,false,false
44,2,0,150274,7018424,7021260,7018424,7021260,712,1,false,false
45,2,0,150274,7027976,7030812,7027976,7030812,713,1,false,false
46,2,0,150274,7037528,7040108,7037528,7040108,714,1,false,false
47,2,0,150274,7047080,7049660,7047080,7049660,715,1,false,false
48,2,0,143329,5542680,5545516,5542680,5545516,551,1,false,false
49,2,0,143329,5552488,5555324,5552488,5555324,552,1,false,false
50,2,0,143329,5562040,5564620,5562040,5564620,553,1,false,false
51,2,0,143329,5571336,5573916,5571336,5573916,554,1,false,false
52,1,0,135104,170004,172840,170004,172840,5,1,false,false
53,1,0,135104,179812,182648,179812,182648,6,1,false,false
54,1,0,135104,189620,192200,189620,192200,7,1,false,false
55,1,0,135104,198916,201496,198916,201496,8,1,false,false
56,1,0,142369,7865796,7868632,7865796,7868632,804,1,false,false
57,1,0,142369,7874304,7877140,7874304,7877140,805,1,false,false
58,1,0,142369,7882556,7885136,7882556,7885136,806,1,false,false
59,1,0,142369,7890552,7893132,7890552,7893132,807,1,false,false
60,1,0,139328,3488820,3490376,3488820,3490376,350,1,false,false
61,1,0,139328,3493764,3495064,3493764,3495064,351,1,false,false
62,1,0,139328,3500756,3502056,3500756,3502056,352,1,false,false
